Initial upper_bound: 11853972.6, lower_bound: 2321064.4, init_target_latency: 7087518.5, diff_threshold_ns: 1000000
Search segment 0, latency: 46808608.3, target: 7087518.5, partition: [130   1   1], latencies(ns): [46808608   309343   581046]
Search segment 0, latency: 46782875.53, target: 7087518.5, partition: [129   2   1], latencies(ns): [46782875   336300   581046]
Search segment 0, latency: 47030675.61, target: 7087518.5, partition: [128   3   1], latencies(ns): [47030675   544284   581046]
Search segment 0, latency: 47091931.27, target: 7087518.5, partition: [127   4   1], latencies(ns): [47091931   672821   581046]
Search segment 0, latency: 45898634.14, target: 7087518.5, partition: [126   5   1], latencies(ns): [45898634  2682107   581046]
Search segment 0, latency: 45877889.86, target: 7087518.5, partition: [125   6   1], latencies(ns): [45877889  2696524   581046]
Search segment 0, latency: 45902790.36, target: 7087518.5, partition: [124   7   1], latencies(ns): [45902790  2689359   581046]
Search segment 0, latency: 44889106.06, target: 7087518.5, partition: [123   8   1], latencies(ns): [44889106  3721343   581046]
Search segment 0, latency: 43793842.29, target: 7087518.5, partition: [122   9   1], latencies(ns): [43793842  4678180   581046]
Search segment 0, latency: 41912099.64, target: 7087518.5, partition: [121  10   1], latencies(ns): [41912099  6332300   581046]
Search segment 0, latency: 41919077.76, target: 7087518.5, partition: [120  11   1], latencies(ns): [41919077  6358276   581046]
Search segment 0, latency: 41931055.49, target: 7087518.5, partition: [119  12   1], latencies(ns): [41931055  6124596   581046]
Search segment 0, latency: 40923080.78, target: 7087518.5, partition: [118  13   1], latencies(ns): [40923080  7411394   581046]
Search segment 0, latency: 39800481.74, target: 7087518.5, partition: [117  14   1], latencies(ns): [39800481  8363435   581046]
Search segment 0, latency: 39719761.59, target: 7087518.5, partition: [116  15   1], latencies(ns): [39719761  8446701   581046]
Search segment 0, latency: 37534766.78, target: 7087518.5, partition: [115  16   1], latencies(ns): [37534766 10448275   581046]
Search segment 0, latency: 36921184.03, target: 7087518.5, partition: [114  17   1], latencies(ns): [36921184 11618594   581046]
Search segment 0, latency: 36509691.06, target: 7087518.5, partition: [113  18   1], latencies(ns): [36509691 11344319   581046]
Search segment 0, latency: 36577287.31, target: 7087518.5, partition: [112  19   1], latencies(ns): [36577287 11414771   581046]
Search segment 0, latency: 35783487.83, target: 7087518.5, partition: [111  20   1], latencies(ns): [35783487 12466420   581046]
Search segment 0, latency: 35791976.83, target: 7087518.5, partition: [110  21   1], latencies(ns): [35791976 12523182   581046]
Search segment 0, latency: 35882615.64, target: 7087518.5, partition: [109  22   1], latencies(ns): [35882615 12565514   581046]
Search segment 0, latency: 34787855.87, target: 7087518.5, partition: [108  23   1], latencies(ns): [34787855 13369619   581046]
