Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 2, latency: 38039394.58, target: 4516023.9, partition: [18 18 85 11], latencies(ns): [ 4464641  4469874 38039394  6371790]
Search segment 2, latency: 38039864.55, target: 4516023.9, partition: [18 18 84 12], latencies(ns): [ 4464641  4469874 38039864  6480124]
Search segment 2, latency: 38068115.7, target: 4516023.9, partition: [18 18 83 13], latencies(ns): [ 4464641  4469874 38068115  6395244]
Search segment 2, latency: 37051259.34, target: 4516023.9, partition: [18 18 82 14], latencies(ns): [ 4464641  4469874 37051259  7638803]
Search segment 2, latency: 35923365.11, target: 4516023.9, partition: [18 18 81 15], latencies(ns): [ 4464641  4469874 35923365  8628166]
Search segment 2, latency: 35865274.37, target: 4516023.9, partition: [18 18 80 16], latencies(ns): [ 4464641  4469874 35865274  8678196]
Search segment 2, latency: 33605241.42, target: 4516023.9, partition: [18 18 79 17], latencies(ns): [ 4464641  4469874 33605241 10673417]
Search segment 2, latency: 33128443.09, target: 4516023.9, partition: [18 18 78 18], latencies(ns): [ 4464641  4469874 33128443 11861857]
Search segment 2, latency: 32691900.03, target: 4516023.9, partition: [18 18 77 19], latencies(ns): [ 4464641  4469874 32691900 11577029]
Search segment 2, latency: 32722469.3, target: 4516023.9, partition: [18 18 76 20], latencies(ns): [ 4464641  4469874 32722469 11471678]
Search segment 2, latency: 31972825.32, target: 4516023.9, partition: [18 18 75 21], latencies(ns): [ 4464641  4469874 31972825 12519093]
Search segment 2, latency: 31949486.02, target: 4516023.9, partition: [18 18 74 22], latencies(ns): [ 4464641  4469874 31949486 12773827]
Search segment 2, latency: 31945965.84, target: 4516023.9, partition: [18 18 73 23], latencies(ns): [ 4464641  4469874 31945965 12788319]
Search segment 2, latency: 30970130.79, target: 4516023.9, partition: [18 18 72 24], latencies(ns): [ 4464641  4469874 30970130 13758427]
Search segment 2, latency: 29762733.66, target: 4516023.9, partition: [18 18 71 25], latencies(ns): [ 4464641  4469874 29762733 14759421]
Search segment 2, latency: 28631543.63, target: 4516023.9, partition: [18 18 70 26], latencies(ns): [ 4464641  4469874 28631543 15790907]
Search segment 2, latency: 28598241.7, target: 4516023.9, partition: [18 18 69 27], latencies(ns): [ 4464641  4469874 28598241 15705236]
Search segment 2, latency: 28625828.92, target: 4516023.9, partition: [18 18 68 28], latencies(ns): [ 4464641  4469874 28625828 15839828]
Search segment 2, latency: 27619434.57, target: 4516023.9, partition: [18 18 67 29], latencies(ns): [ 4464641  4469874 27619434 16806908]
Search segment 2, latency: 26480461.59, target: 4516023.9, partition: [18 18 66 30], latencies(ns): [ 4464641  4469874 26480461 17779755]
Search segment 2, latency: 26446950.17, target: 4516023.9, partition: [18 18 65 31], latencies(ns): [ 4464641  4469874 26446950 17826839]
Search segment 2, latency: 26333339.19, target: 4516023.9, partition: [18 18 64 32], latencies(ns): [ 4464641  4469874 26333339 17770747]
Search segment 2, latency: 25790690.92, target: 4516023.9, partition: [18 18 63 33], latencies(ns): [ 4464641  4469874 25790690 18509462]
Search segment 2, latency: 25657513.29, target: 4516023.9, partition: [18 18 62 34], latencies(ns): [ 4464641  4469874 25657513 18381834]
Search segment 2, latency: 25709752.04, target: 4516023.9, partition: [18 18 61 35], latencies(ns): [ 4464641  4469874 25709752 18369506]
Search segment 2, latency: 24493408.49, target: 4516023.9, partition: [18 18 60 36], latencies(ns): [ 4464641  4469874 24493408 19753696]
Search segment 2, latency: 24615470.68, target: 4516023.9, partition: [18 18 59 37], latencies(ns): [ 4464641  4469874 24615470 20520601]
Search segment 2, latency: 23981057.87, target: 4516023.9, partition: [18 18 58 38], latencies(ns): [ 4464641  4469874 23981057 21389152]
Search segment 2, latency: 23351210.56, target: 4516023.9, partition: [18 18 57 39], latencies(ns): [ 4464641  4469874 23351210 21959648]
Search segment 2, latency: 22788812.54, target: 4516023.9, partition: [18 18 56 40], latencies(ns): [ 4464641  4469874 22788812 22549569]
Search segment 2, latency: 22331561.57, target: 4516023.9, partition: [18 18 55 41], latencies(ns): [ 4464641  4469874 22331561 22768770]
Search segment 2, latency: 21884068.03, target: 4516023.9, partition: [18 18 54 42], latencies(ns): [ 4464641  4469874 21884068 22657980]
Search segment 2, latency: 21967586.54, target: 4516023.9, partition: [18 18 53 43], latencies(ns): [ 4464641  4469874 21967586 22685308]
Search segment 2, latency: 22076136.48, target: 4516023.9, partition: [18 18 52 44], latencies(ns): [ 4464641  4469874 22076136 22794941]
Search segment 2, latency: 22155768.33, target: 4516023.9, partition: [18 18 51 45], latencies(ns): [ 4464641  4469874 22155768 23575932]
Search segment 2, latency: 21579739.84, target: 4516023.9, partition: [18 18 50 46], latencies(ns): [ 4464641  4469874 21579739 24118736]
Search segment 2, latency: 20978954.11, target: 4516023.9, partition: [18 18 49 47], latencies(ns): [ 4464641  4469874 20978954 24649622]
Search segment 2, latency: 20428212.62, target: 4516023.9, partition: [18 18 48 48], latencies(ns): [ 4464641  4469874 20428212 24918119]
Search segment 2, latency: 19841514.67, target: 4516023.9, partition: [18 18 47 49], latencies(ns): [ 4464641  4469874 19841514 25460267]
Search segment 2, latency: 19235390.08, target: 4516023.9, partition: [18 18 46 50], latencies(ns): [ 4464641  4469874 19235390 26143145]
Search segment 2, latency: 18779159.54, target: 4516023.9, partition: [18 18 45 51], latencies(ns): [ 4464641  4469874 18779159 26709654]
Search segment 2, latency: 17708373.05, target: 4516023.9, partition: [18 18 44 52], latencies(ns): [ 4464641  4469874 17708373 27348375]
Search segment 2, latency: 17507391.38, target: 4516023.9, partition: [18 18 43 53], latencies(ns): [ 4464641  4469874 17507391 27497473]
Search segment 2, latency: 17643458.02, target: 4516023.9, partition: [18 18 42 54], latencies(ns): [ 4464641  4469874 17643458 28227737]
Search segment 2, latency: 16929041.8, target: 4516023.9, partition: [18 18 41 55], latencies(ns): [ 4464641  4469874 16929041 27792344]
Search segment 2, latency: 17013949.42, target: 4516023.9, partition: [18 18 40 56], latencies(ns): [ 4464641  4469874 17013949 27885895]
Search segment 2, latency: 17159216.0, target: 4516023.9, partition: [18 18 39 57], latencies(ns): [ 4464641  4469874 17159216 28607242]
Search segment 2, latency: 16595448.58, target: 4516023.9, partition: [18 18 38 58], latencies(ns): [ 4464641  4469874 16595448 29147263]
Search segment 2, latency: 16073278.81, target: 4516023.9, partition: [18 18 37 59], latencies(ns): [ 4464641  4469874 16073278 29499852]
Search segment 2, latency: 15224047.63, target: 4516023.9, partition: [18 18 36 60], latencies(ns): [ 4464641  4469874 15224047 29836246]
Search segment 2, latency: 15059009.89, target: 4516023.9, partition: [18 18 35 61], latencies(ns): [ 4464641  4469874 15059009 30307446]
Search segment 2, latency: 14593936.69, target: 4516023.9, partition: [18 18 34 62], latencies(ns): [ 4464641  4469874 14593936 30826362]
Search segment 2, latency: 14080061.75, target: 4516023.9, partition: [18 18 33 63], latencies(ns): [ 4464641  4469874 14080061 31316263]
Search segment 2, latency: 13566237.11, target: 4516023.9, partition: [18 18 32 64], latencies(ns): [ 4464641  4469874 13566237 31852340]
Search segment 2, latency: 13073155.15, target: 4516023.9, partition: [18 18 31 65], latencies(ns): [ 4464641  4469874 13073155 32018882]
Search segment 2, latency: 13170810.67, target: 4516023.9, partition: [18 18 30 66], latencies(ns): [ 4464641  4469874 13170810 32743103]
Search segment 2, latency: 12421147.36, target: 4516023.9, partition: [18 18 29 67], latencies(ns): [ 4464641  4469874 12421147 32271742]
Search segment 2, latency: 12495254.7, target: 4516023.9, partition: [18 18 28 68], latencies(ns): [ 4464641  4469874 12495254 32430042]
Search segment 2, latency: 12653382.04, target: 4516023.9, partition: [18 18 27 69], latencies(ns): [ 4464641  4469874 12653382 32810770]
Search segment 2, latency: 12094391.19, target: 4516023.9, partition: [18 18 26 70], latencies(ns): [ 4464641  4469874 12094391 33455625]
Search segment 2, latency: 11616384.38, target: 4516023.9, partition: [18 18 25 71], latencies(ns): [ 4464641  4469874 11616384 34102040]
Search segment 2, latency: 11057818.89, target: 4516023.9, partition: [18 18 24 72], latencies(ns): [ 4464641  4469874 11057818 34279232]
Search segment 2, latency: 10610469.77, target: 4516023.9, partition: [18 18 23 73], latencies(ns): [ 4464641  4469874 10610469 34809378]
Search segment 2, latency: 10077270.75, target: 4516023.9, partition: [18 18 22 74], latencies(ns): [ 4464641  4469874 10077270 35271602]
Search segment 2, latency: 9605632.92, target: 4516023.9, partition: [18 18 21 75], latencies(ns): [ 4464641  4469874  9605632 35763976]
Search segment 2, latency: 9060324.88, target: 4516023.9, partition: [18 18 20 76], latencies(ns): [ 4464641  4469874  9060324 36291415]
Search segment 2, latency: 8578113.73, target: 4516023.9, partition: [18 18 19 77], latencies(ns): [ 4464641  4469874  8578113 36489597]
Search segment 2, latency: 8688282.67, target: 4516023.9, partition: [18 18 18 78], latencies(ns): [ 4464641  4469874  8688282 37189907]
Search segment 2, latency: 7951780.29, target: 4516023.9, partition: [18 18 17 79], latencies(ns): [ 4464641  4469874  7951780 36758436]
Search segment 2, latency: 8010900.58, target: 4516023.9, partition: [18 18 16 80], latencies(ns): [ 4464641  4469874  8010900 36621181]
Search segment 2, latency: 8184609.79, target: 4516023.9, partition: [18 18 15 81], latencies(ns): [ 4464641  4469874  8184609 37669372]
Search segment 2, latency: 7690076.01, target: 4516023.9, partition: [18 18 14 82], latencies(ns): [ 4464641  4469874  7690076 37982771]
Search segment 2, latency: 7431467.68, target: 4516023.9, partition: [18 18 13 83], latencies(ns): [ 4464641  4469874  7431467 38252949]
Search segment 2, latency: 7057875.42, target: 4516023.9, partition: [18 18 12 84], latencies(ns): [ 4464641  4469874  7057875 38071908]
Search segment 2, latency: 6594120.77, target: 4516023.9, partition: [18 18 11 85], latencies(ns): [ 4464641  4469874  6594120 38529023]
Search segment 2, latency: 6319895.66, target: 4516023.9, partition: [18 18 10 86], latencies(ns): [ 4464641  4469874  6319895 38986936]
Search segment 2, latency: 6099530.42, target: 4516023.9, partition: [18 18  9 87], latencies(ns): [ 4464641  4469874  6099530 39262484]
Search segment 2, latency: 5773246.22, target: 4516023.9, partition: [18 18  8 88], latencies(ns): [ 4464641  4469874  5773246 39517611]
Search segment 2, latency: 5544864.7, target: 4516023.9, partition: [18 18  7 89], latencies(ns): [ 4464641  4469874  5544864 39637507]
Search segment 2, latency: 5558451.55, target: 4516023.9, partition: [18 18  6 90], latencies(ns): [ 4464641  4469874  5558451 40216690]
Search segment 2, latency: 4802740.4, target: 4516023.9, partition: [18 18  5 91], latencies(ns): [ 4464641  4469874  4802740 39676390]
Search segment 2, latency: 4425194.87, target: 4516023.9, partition: [18 18  4 92], latencies(ns): [ 4464641  4469874  4425194 39966009]
target_latency:  4516023.9, num_ops: [18 18  4 92], latencies: [ 4464641  4469874  4425194 39966009]
Updated upper_bound: 39966009.1, lower_bound: 4516023.9
Search segment 0, latency: 46782875.53, target: 22241016.5, partition: [129   1   1   1], latencies(ns): [46782875   139087   316325   580337]
Search segment 0, latency: 47030675.61, target: 22241016.5, partition: [128   2   1   1], latencies(ns): [47030675   787737   316325   580337]
Search segment 0, latency: 47091931.27, target: 22241016.5, partition: [127   3   1   1], latencies(ns): [47091931   745581   316325   580337]
Search segment 0, latency: 45898634.14, target: 22241016.5, partition: [126   4   1   1], latencies(ns): [45898634  2667519   316325   580337]
Search segment 0, latency: 45877889.86, target: 22241016.5, partition: [125   5   1   1], latencies(ns): [45877889  2649180   316325   580337]
Search segment 0, latency: 45902790.36, target: 22241016.5, partition: [124   6   1   1], latencies(ns): [45902790  2448767   316325   580337]
Search segment 0, latency: 44889106.06, target: 22241016.5, partition: [123   7   1   1], latencies(ns): [44889106  3671887   316325   580337]
Search segment 0, latency: 43793842.29, target: 22241016.5, partition: [122   8   1   1], latencies(ns): [43793842  4621871   316325   580337]
Search segment 0, latency: 41912099.64, target: 22241016.5, partition: [121   9   1   1], latencies(ns): [41912099  6345697   316325   580337]
Search segment 0, latency: 41919077.76, target: 22241016.5, partition: [120  10   1   1], latencies(ns): [41919077  6405925   316325   580337]
Search segment 0, latency: 41931055.49, target: 22241016.5, partition: [119  11   1   1], latencies(ns): [41931055  6392487   316325   580337]
Search segment 0, latency: 40923080.78, target: 22241016.5, partition: [118  12   1   1], latencies(ns): [40923080  7401433   316325   580337]
Search segment 0, latency: 39800481.74, target: 22241016.5, partition: [117  13   1   1], latencies(ns): [39800481  8354105   316325   580337]
Search segment 0, latency: 39719761.59, target: 22241016.5, partition: [116  14   1   1], latencies(ns): [39719761  8282128   316325   580337]
Search segment 0, latency: 37534766.78, target: 22241016.5, partition: [115  15   1   1], latencies(ns): [37534766 10432550   316325   580337]
Search segment 0, latency: 36921184.03, target: 22241016.5, partition: [114  16   1   1], latencies(ns): [36921184 11631135   316325   580337]
Search segment 0, latency: 36509691.06, target: 22241016.5, partition: [113  17   1   1], latencies(ns): [36509691 11357571   316325   580337]
Search segment 0, latency: 36577287.31, target: 22241016.5, partition: [112  18   1   1], latencies(ns): [36577287 11445695   316325   580337]
Search segment 0, latency: 35783487.83, target: 22241016.5, partition: [111  19   1   1], latencies(ns): [35783487 12472953   316325   580337]
Search segment 0, latency: 35791976.83, target: 22241016.5, partition: [110  20   1   1], latencies(ns): [35791976 12509308   316325   580337]
Search segment 0, latency: 35882615.64, target: 22241016.5, partition: [109  21   1   1], latencies(ns): [35882615 12569345   316325   580337]
Search segment 0, latency: 34787855.87, target: 22241016.5, partition: [108  22   1   1], latencies(ns): [34787855 13529395   316325   580337]
Search segment 0, latency: 33691330.26, target: 22241016.5, partition: [107  23   1   1], latencies(ns): [33691330 14504243   316325   580337]
Search segment 0, latency: 32478660.42, target: 22241016.5, partition: [106  24   1   1], latencies(ns): [32478660 15521137   316325   580337]
Search segment 0, latency: 32474586.71, target: 22241016.5, partition: [105  25   1   1], latencies(ns): [32474586 15481555   316325   580337]
Search segment 0, latency: 32463457.58, target: 22241016.5, partition: [104  26   1   1], latencies(ns): [32463457 15531415   316325   580337]
Search segment 0, latency: 31503327.6, target: 22241016.5, partition: [103  27   1   1], latencies(ns): [31503327 16579383   316325   580337]
Search segment 0, latency: 30388135.68, target: 22241016.5, partition: [102  28   1   1], latencies(ns): [30388135 17509624   316325   580337]
Search segment 0, latency: 30309860.4, target: 22241016.5, partition: [101  29   1   1], latencies(ns): [30309860 17620924   316325   580337]
Search segment 0, latency: 30167471.58, target: 22241016.5, partition: [100  30   1   1], latencies(ns): [30167471 17552670   316325   580337]
Search segment 0, latency: 29749197.49, target: 22241016.5, partition: [99 31  1  1], latencies(ns): [29749197 18255099   316325   580337]
Search segment 0, latency: 29463480.77, target: 22241016.5, partition: [98 32  1  1], latencies(ns): [29463480 18070521   316325   580337]
Search segment 0, latency: 29562610.57, target: 22241016.5, partition: [97 33  1  1], latencies(ns): [29562610 18143477   316325   580337]
Search segment 0, latency: 28388478.42, target: 22241016.5, partition: [96 34  1  1], latencies(ns): [28388478 19501138   316325   580337]
Search segment 0, latency: 28486230.32, target: 22241016.5, partition: [95 35  1  1], latencies(ns): [28486230 20260704   316325   580337]
Search segment 0, latency: 27926443.55, target: 22241016.5, partition: [94 36  1  1], latencies(ns): [27926443 21086314   316325   580337]
Search segment 0, latency: 27224740.13, target: 22241016.5, partition: [93 37  1  1], latencies(ns): [27224740 21688382   316325   580337]
Search segment 0, latency: 26664075.97, target: 22241016.5, partition: [92 38  1  1], latencies(ns): [26664075 22316203   316325   580337]
Search segment 0, latency: 26133680.55, target: 22241016.5, partition: [91 39  1  1], latencies(ns): [26133680 22552636   316325   580337]
Search segment 0, latency: 25946140.07, target: 22241016.5, partition: [90 40  1  1], latencies(ns): [25946140 22402951   316325   580337]
Search segment 0, latency: 25857954.0, target: 22241016.5, partition: [89 41  1  1], latencies(ns): [25857954 22410996   316325   580337]
Search segment 0, latency: 25944547.17, target: 22241016.5, partition: [88 42  1  1], latencies(ns): [25944547 22516944   316325   580337]
Search segment 0, latency: 25994980.13, target: 22241016.5, partition: [87 43  1  1], latencies(ns): [25994980 23281638   316325   580337]
Search segment 0, latency: 25493480.92, target: 22241016.5, partition: [86 44  1  1], latencies(ns): [25493480 23903324   316325   580337]
Search segment 0, latency: 24811525.12, target: 22241016.5, partition: [85 45  1  1], latencies(ns): [24811525 24498973   316325   580337]
Search segment 0, latency: 24120441.22, target: 22241016.5, partition: [84 46  1  1], latencies(ns): [24120441 24657929   316325   580337]
Search segment 0, latency: 23728510.1, target: 22241016.5, partition: [83 47  1  1], latencies(ns): [23728510 25280903   316325   580337]
Search segment 0, latency: 23134728.1, target: 22241016.5, partition: [82 48  1  1], latencies(ns): [23134728 25885549   316325   580337]
Search segment 0, latency: 22526254.72, target: 22241016.5, partition: [81 49  1  1], latencies(ns): [22526254 26546158   316325   580337]
Search segment 0, latency: 21926330.9, target: 22241016.5, partition: [80 50  1  1], latencies(ns): [21926330 27080325   316325   580337]
Search segment 1, latency: 27080325.28, target: 22241016.5, partition: [80 50  1  1], latencies(ns): [21926330 27080325   316325   580337]
Search segment 1, latency: 27080627.4, target: 22241016.5, partition: [80 49  2  1], latencies(ns): [21948371 27080627   380008   571990]
Search segment 1, latency: 27315970.2, target: 22241016.5, partition: [80 48  3  1], latencies(ns): [21937839 27315970   808847   607307]
Search segment 1, latency: 27391675.4, target: 22241016.5, partition: [80 47  4  1], latencies(ns): [21947475 27391675   860904   567836]
Search segment 1, latency: 25832386.3, target: 22241016.5, partition: [80 46  5  1], latencies(ns): [21686204 25832386  2425344   346679]
Search segment 1, latency: 26172371.1, target: 22241016.5, partition: [80 45  6  1], latencies(ns): [21936158 26172371  2691355   589762]
Search segment 1, latency: 26207038.9, target: 22241016.5, partition: [80 44  7  1], latencies(ns): [21941301 26207038  2548887   445948]
Search segment 1, latency: 25174576.0, target: 22241016.5, partition: [80 43  8  1], latencies(ns): [21940831 25174576  3716732   571849]
Search segment 1, latency: 24096788.3, target: 22241016.5, partition: [80 42  9  1], latencies(ns): [21929853 24096788  4675252   580243]
Search segment 1, latency: 22199518.7, target: 22241016.5, partition: [80 41 10  1], latencies(ns): [21939435 22199518  6369636   563033]
Search segment 2, latency: 6369636.5, target: 22241016.5, partition: [80 41 10  1], latencies(ns): [21939435 22199518  6369636   563033]
target_latency:  22241016.5, num_ops: [80 41 10  1], latencies: [21939435 22199518  6369636   563033]
  assert best_partition != []
Updated upper_bound: 22241016.5, lower_bound: 4516023.9
Search segment 0, latency: 46782875.53, target: 13378520.2, partition: [129   1   1   1], latencies(ns): [46782875   139087   316325   563033]
Search segment 0, latency: 47030675.61, target: 13378520.2, partition: [128   2   1   1], latencies(ns): [47030675   787737   316325   563033]
Search segment 0, latency: 47091931.27, target: 13378520.2, partition: [127   3   1   1], latencies(ns): [47091931   745581   316325   563033]
Search segment 0, latency: 45898634.14, target: 13378520.2, partition: [126   4   1   1], latencies(ns): [45898634  2667519   316325   563033]
Search segment 0, latency: 45877889.86, target: 13378520.2, partition: [125   5   1   1], latencies(ns): [45877889  2649180   316325   563033]
Search segment 0, latency: 45902790.36, target: 13378520.2, partition: [124   6   1   1], latencies(ns): [45902790  2448767   316325   563033]
Search segment 0, latency: 44889106.06, target: 13378520.2, partition: [123   7   1   1], latencies(ns): [44889106  3671887   316325   563033]
Search segment 0, latency: 43793842.29, target: 13378520.2, partition: [122   8   1   1], latencies(ns): [43793842  4621871   316325   563033]
Search segment 0, latency: 41912099.64, target: 13378520.2, partition: [121   9   1   1], latencies(ns): [41912099  6345697   316325   563033]
Search segment 0, latency: 41919077.76, target: 13378520.2, partition: [120  10   1   1], latencies(ns): [41919077  6405925   316325   563033]
Search segment 0, latency: 41931055.49, target: 13378520.2, partition: [119  11   1   1], latencies(ns): [41931055  6392487   316325   563033]
Search segment 0, latency: 40923080.78, target: 13378520.2, partition: [118  12   1   1], latencies(ns): [40923080  7401433   316325   563033]
Search segment 0, latency: 39800481.74, target: 13378520.2, partition: [117  13   1   1], latencies(ns): [39800481  8354105   316325   563033]
Search segment 0, latency: 39719761.59, target: 13378520.2, partition: [116  14   1   1], latencies(ns): [39719761  8282128   316325   563033]
Search segment 0, latency: 37534766.78, target: 13378520.2, partition: [115  15   1   1], latencies(ns): [37534766 10432550   316325   563033]
Search segment 0, latency: 36921184.03, target: 13378520.2, partition: [114  16   1   1], latencies(ns): [36921184 11631135   316325   563033]
Search segment 0, latency: 36509691.06, target: 13378520.2, partition: [113  17   1   1], latencies(ns): [36509691 11357571   316325   563033]
Search segment 0, latency: 36577287.31, target: 13378520.2, partition: [112  18   1   1], latencies(ns): [36577287 11445695   316325   563033]
Search segment 0, latency: 35783487.83, target: 13378520.2, partition: [111  19   1   1], latencies(ns): [35783487 12472953   316325   563033]
Search segment 0, latency: 35791976.83, target: 13378520.2, partition: [110  20   1   1], latencies(ns): [35791976 12509308   316325   563033]
Search segment 0, latency: 35882615.64, target: 13378520.2, partition: [109  21   1   1], latencies(ns): [35882615 12569345   316325   563033]
Search segment 0, latency: 34787855.87, target: 13378520.2, partition: [108  22   1   1], latencies(ns): [34787855 13529395   316325   563033]
Search segment 0, latency: 33691330.26, target: 13378520.2, partition: [107  23   1   1], latencies(ns): [33691330 14504243   316325   563033]
Search segment 0, latency: 32478660.42, target: 13378520.2, partition: [106  24   1   1], latencies(ns): [32478660 15521137   316325   563033]
Search segment 0, latency: 32474586.71, target: 13378520.2, partition: [105  25   1   1], latencies(ns): [32474586 15481555   316325   563033]
Search segment 0, latency: 32463457.58, target: 13378520.2, partition: [104  26   1   1], latencies(ns): [32463457 15531415   316325   563033]
Search segment 0, latency: 31503327.6, target: 13378520.2, partition: [103  27   1   1], latencies(ns): [31503327 16579383   316325   563033]
Search segment 0, latency: 30388135.68, target: 13378520.2, partition: [102  28   1   1], latencies(ns): [30388135 17509624   316325   563033]
Search segment 0, latency: 30309860.4, target: 13378520.2, partition: [101  29   1   1], latencies(ns): [30309860 17620924   316325   563033]
Search segment 0, latency: 30167471.58, target: 13378520.2, partition: [100  30   1   1], latencies(ns): [30167471 17552670   316325   563033]
Search segment 0, latency: 29749197.49, target: 13378520.2, partition: [99 31  1  1], latencies(ns): [29749197 18255099   316325   563033]
Search segment 0, latency: 29463480.77, target: 13378520.2, partition: [98 32  1  1], latencies(ns): [29463480 18070521   316325   563033]
Search segment 0, latency: 29562610.57, target: 13378520.2, partition: [97 33  1  1], latencies(ns): [29562610 18143477   316325   563033]
Search segment 0, latency: 28388478.42, target: 13378520.2, partition: [96 34  1  1], latencies(ns): [28388478 19501138   316325   563033]
Search segment 0, latency: 28486230.32, target: 13378520.2, partition: [95 35  1  1], latencies(ns): [28486230 20260704   316325   563033]
Search segment 0, latency: 27926443.55, target: 13378520.2, partition: [94 36  1  1], latencies(ns): [27926443 21086314   316325   563033]
Search segment 0, latency: 27224740.13, target: 13378520.2, partition: [93 37  1  1], latencies(ns): [27224740 21688382   316325   563033]
Search segment 0, latency: 26664075.97, target: 13378520.2, partition: [92 38  1  1], latencies(ns): [26664075 22316203   316325   563033]
Search segment 0, latency: 26133680.55, target: 13378520.2, partition: [91 39  1  1], latencies(ns): [26133680 22552636   316325   563033]
Search segment 0, latency: 25946140.07, target: 13378520.2, partition: [90 40  1  1], latencies(ns): [25946140 22402951   316325   563033]
Search segment 0, latency: 25857954.0, target: 13378520.2, partition: [89 41  1  1], latencies(ns): [25857954 22410996   316325   563033]
Search segment 0, latency: 25944547.17, target: 13378520.2, partition: [88 42  1  1], latencies(ns): [25944547 22516944   316325   563033]
Search segment 0, latency: 25994980.13, target: 13378520.2, partition: [87 43  1  1], latencies(ns): [25994980 23281638   316325   563033]
Search segment 0, latency: 25493480.92, target: 13378520.2, partition: [86 44  1  1], latencies(ns): [25493480 23903324   316325   563033]
Search segment 0, latency: 24811525.12, target: 13378520.2, partition: [85 45  1  1], latencies(ns): [24811525 24498973   316325   563033]
Search segment 0, latency: 24120441.22, target: 13378520.2, partition: [84 46  1  1], latencies(ns): [24120441 24657929   316325   563033]
Search segment 0, latency: 23728510.1, target: 13378520.2, partition: [83 47  1  1], latencies(ns): [23728510 25280903   316325   563033]
Search segment 0, latency: 23134728.1, target: 13378520.2, partition: [82 48  1  1], latencies(ns): [23134728 25885549   316325   563033]
Search segment 0, latency: 22526254.72, target: 13378520.2, partition: [81 49  1  1], latencies(ns): [22526254 26546158   316325   563033]
Search segment 0, latency: 21939435.2, target: 13378520.2, partition: [80 50  1  1], latencies(ns): [21939435 27080325   316325   563033]
Search segment 0, latency: 21408904.91, target: 13378520.2, partition: [79 51  1  1], latencies(ns): [21408904 27248768   316325   563033]
Search segment 0, latency: 21471925.3, target: 13378520.2, partition: [78 52  1  1], latencies(ns): [21471925 28006230   316325   563033]
Search segment 0, latency: 20794272.44, target: 13378520.2, partition: [77 53  1  1], latencies(ns): [20794272 27548885   316325   563033]
Search segment 0, latency: 20596802.6, target: 13378520.2, partition: [76 54  1  1], latencies(ns): [20596802 27671715   316325   563033]
Search segment 0, latency: 20978018.84, target: 13378520.2, partition: [75 55  1  1], latencies(ns): [20978018 28388601   316325   563033]
Search segment 0, latency: 20483457.18, target: 13378520.2, partition: [74 56  1  1], latencies(ns): [20483457 28862061   316325   563033]
Search segment 0, latency: 19950637.18, target: 13378520.2, partition: [73 57  1  1], latencies(ns): [19950637 29436847   316325   563033]
Search segment 0, latency: 19461255.59, target: 13378520.2, partition: [72 58  1  1], latencies(ns): [19461255 29578896   316325   563033]
Search segment 0, latency: 18924015.71, target: 13378520.2, partition: [71 59  1  1], latencies(ns): [18924015 30055785   316325   563033]
Search segment 0, latency: 18425068.41, target: 13378520.2, partition: [70 60  1  1], latencies(ns): [18425068 30561266   316325   563033]
Search segment 0, latency: 17922802.0, target: 13378520.2, partition: [69 61  1  1], latencies(ns): [17922802 31068527   316325   563033]
Search segment 0, latency: 17384702.33, target: 13378520.2, partition: [68 62  1  1], latencies(ns): [17384702 31509179   316325   563033]
Search segment 0, latency: 16574101.06, target: 13378520.2, partition: [67 63  1  1], latencies(ns): [16574101 31735314   316325   563033]
Search segment 0, latency: 17079153.79, target: 13378520.2, partition: [66 64  1  1], latencies(ns): [17079153 32453658   316325   563033]
Search segment 0, latency: 16297657.96, target: 13378520.2, partition: [65 65  1  1], latencies(ns): [16297657 32005279   316325   563033]
Search segment 0, latency: 16406303.68, target: 13378520.2, partition: [64 66  1  1], latencies(ns): [16406303 32141049   316325   563033]
Search segment 0, latency: 16398078.33, target: 13378520.2, partition: [63 67  1  1], latencies(ns): [16398078 32839742   316325   563033]
Search segment 0, latency: 15940790.6, target: 13378520.2, partition: [62 68  1  1], latencies(ns): [15940790 33335677   316325   563033]
Search segment 0, latency: 15433032.04, target: 13378520.2, partition: [61 69  1  1], latencies(ns): [15433032 33798877   316325   563033]
Search segment 0, latency: 14972016.28, target: 13378520.2, partition: [60 70  1  1], latencies(ns): [14972016 34051087   316325   563033]
Search segment 0, latency: 14408804.47, target: 13378520.2, partition: [59 71  1  1], latencies(ns): [14408804 34555934   316325   563033]
Search segment 0, latency: 13928735.9, target: 13378520.2, partition: [58 72  1  1], latencies(ns): [13928735 34959133   316325   563033]
Search segment 0, latency: 13383229.62, target: 13378520.2, partition: [57 73  1  1], latencies(ns): [13383229 35549244   316325   563033]
Search segment 0, latency: 12921821.55, target: 13378520.2, partition: [56 74  1  1], latencies(ns): [12921821 36020174   316325   563033]
Search segment 1, latency: 36020174.19, target: 13378520.2, partition: [56 74  1  1], latencies(ns): [12921821 36020174   316325   563033]
Search segment 1, latency: 36004367.6, target: 13378520.2, partition: [56 73  2  1], latencies(ns): [12942860 36004367   336300   571303]
Search segment 1, latency: 35975930.7, target: 13378520.2, partition: [56 72  3  1], latencies(ns): [12698540 35975930   544284   344688]
