Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 0, latency: 21471925.3, target: 4516023.9, partition: [78 52  1  1], latencies(ns): [21471925 28006230   316325   580337]
Search segment 0, latency: 20794272.44, target: 4516023.9, partition: [77 53  1  1], latencies(ns): [20794272 27548885   316325   580337]
Search segment 0, latency: 20596802.6, target: 4516023.9, partition: [76 54  1  1], latencies(ns): [20596802 27671715   316325   580337]
Search segment 0, latency: 20978018.84, target: 4516023.9, partition: [75 55  1  1], latencies(ns): [20978018 28388601   316325   580337]
Search segment 0, latency: 20483457.18, target: 4516023.9, partition: [74 56  1  1], latencies(ns): [20483457 28862061   316325   580337]
Search segment 0, latency: 19950637.18, target: 4516023.9, partition: [73 57  1  1], latencies(ns): [19950637 29436847   316325   580337]
Search segment 0, latency: 19461255.59, target: 4516023.9, partition: [72 58  1  1], latencies(ns): [19461255 29578896   316325   580337]
Search segment 0, latency: 18924015.71, target: 4516023.9, partition: [71 59  1  1], latencies(ns): [18924015 30055785   316325   580337]
Search segment 0, latency: 18425068.41, target: 4516023.9, partition: [70 60  1  1], latencies(ns): [18425068 30561266   316325   580337]
Search segment 0, latency: 17922802.0, target: 4516023.9, partition: [69 61  1  1], latencies(ns): [17922802 31068527   316325   580337]
Search segment 0, latency: 17384702.33, target: 4516023.9, partition: [68 62  1  1], latencies(ns): [17384702 31509179   316325   580337]
Search segment 0, latency: 16574101.06, target: 4516023.9, partition: [67 63  1  1], latencies(ns): [16574101 31735314   316325   580337]
Search segment 0, latency: 17079153.79, target: 4516023.9, partition: [66 64  1  1], latencies(ns): [17079153 32453658   316325   580337]
Search segment 0, latency: 16297657.96, target: 4516023.9, partition: [65 65  1  1], latencies(ns): [16297657 32005279   316325   580337]
Search segment 0, latency: 16406303.68, target: 4516023.9, partition: [64 66  1  1], latencies(ns): [16406303 32141049   316325   580337]
Search segment 0, latency: 16398078.33, target: 4516023.9, partition: [63 67  1  1], latencies(ns): [16398078 32839742   316325   580337]
Search segment 0, latency: 15940790.6, target: 4516023.9, partition: [62 68  1  1], latencies(ns): [15940790 33335677   316325   580337]
Search segment 0, latency: 15433032.04, target: 4516023.9, partition: [61 69  1  1], latencies(ns): [15433032 33798877   316325   580337]
Search segment 0, latency: 14972016.28, target: 4516023.9, partition: [60 70  1  1], latencies(ns): [14972016 34051087   316325   580337]
Search segment 0, latency: 14408804.47, target: 4516023.9, partition: [59 71  1  1], latencies(ns): [14408804 34555934   316325   580337]
Search segment 0, latency: 13928735.9, target: 4516023.9, partition: [58 72  1  1], latencies(ns): [13928735 34959133   316325   580337]
Search segment 0, latency: 13383229.62, target: 4516023.9, partition: [57 73  1  1], latencies(ns): [13383229 35549244   316325   580337]
